,Team,CONF,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,Year,WIN_RATE
1222,florida,SEC,110.0,93.2,0.8703,48.5,46.7,16.0,18.6,32.9,29.5,39.5,35.7,48.9,44.4,31.9,34.3,69.9,0.1,2016,0.5833333333333334
1223,georgia,SEC,108.0,96.4,0.7881,48.1,45.5,19.2,15.6,32.4,29.8,43.5,41.1,44.8,42.8,36.8,33.1,67.9,-0.8,2016,0.5882352941176471
1224,lsu,SEC,111.8,100.5,0.7743,51.1,51.8,16.2,18.8,29.8,29.9,43.0,33.4,52.0,51.3,32.7,35.0,72.9,-1.8,2016,0.5757575757575758
1225,ole miss,SEC,111.0,100.6,0.7556,48.1,49.7,17.1,20.1,34.6,31.1,41.3,40.7,46.5,47.4,33.8,35.5,69.4,-1.4,2016,0.625
1226,mississippi state,SEC,108.7,99.1,0.7448,51.7,48.9,18.0,18.5,29.7,32.9,29.5,36.3,52.6,47.5,33.4,34.3,70.2,-6.2,2016,0.45161290322580644
1227,missouri,SEC,102.9,102.6,0.5088,47.2,49.0,18.0,16.0,26.8,29.8,39.6,40.8,47.6,48.0,31.0,33.6,68.9,-9.5,2016,0.3225806451612903
1228,south carolina,SEC,108.1,95.3,0.809,48.5,47.4,18.9,20.5,37.5,29.5,43.2,38.2,46.6,42.9,35.4,35.8,71.2,1.8,2016,0.7272727272727273
1229,tennessee,SEC,110.5,102.0,0.7154,48.0,48.5,15.8,17.3,32.1,34.5,34.1,37.3,47.4,47.1,32.7,34.2,70.0,-5.8,2016,0.4411764705882353
1230,alabama,SEC,104.4,91.8,0.8142,48.2,46.1,20.4,19.8,34.1,26.6,39.1,39.9,48.7,44.2,31.7,33.3,66.6,-1.8,2017,0.5588235294117647
1231,auburn,SEC,112.4,102.5,0.7425,51.1,50.6,17.9,19.9,30.3,33.3,42.5,38.8,48.5,48.7,36.6,35.7,75.2,-2.4,2017,0.5625
1232,georgia,SEC,107.9,95.9,0.7961,48.1,47.2,18.6,16.7,28.9,28.2,40.7,34.2,48.3,45.4,31.8,33.6,68.5,0.3,2017,0.5757575757575758
1233,lsu,SEC,108.3,109.4,0.471,50.2,54.6,19.8,16.9,31.2,31.3,31.5,36.9,50.2,52.9,33.6,38.2,73.4,-8.8,2017,0.3225806451612903
1234,ole miss,SEC,110.3,100.3,0.7494,48.8,49.8,19.3,18.8,33.9,30.0,42.8,35.6,46.8,46.7,34.7,36.3,72.7,-1.3,2017,0.6111111111111112
1235,mississippi state,SEC,104.1,98.3,0.6567,51.1,48.1,19.0,19.7,27.1,30.1,33.9,37.9,50.4,48.6,34.7,31.5,70.2,-5.3,2017,0.5
1236,missouri,SEC,101.3,100.0,0.5386,45.2,49.6,16.9,19.2,28.2,30.2,38.7,42.6,45.0,48.3,30.4,34.4,69.7,-12.5,2017,0.25
1237,tennessee,SEC,109.3,96.3,0.81,46.8,48.6,17.4,19.3,31.8,30.1,42.9,43.3,46.0,46.2,32.4,35.5,70.8,-2.2,2017,0.5161290322580645
1238,texas a&m,SEC,108.3,95.6,0.8071,51.2,47.2,21.2,17.4,37.4,31.2,33.3,28.1,52.1,43.7,32.9,35.2,65.8,-2.9,2017,0.5161290322580645
1239,georgia,SEC,107.5,95.3,0.8007,47.5,45.6,19.2,14.5,34.8,28.9,40.1,27.7,47.4,43.1,31.8,33.2,65.6,-1.1,2018,0.5454545454545454
1240,lsu,SEC,114.2,102.7,0.7721,54.5,52.7,16.6,19.6,29.2,31.6,32.5,32.7,56.3,52.6,34.6,35.3,69.5,-1.9,2018,0.5454545454545454
1241,ole miss,SEC,110.4,103.9,0.6687,48.3,51.5,15.9,17.3,31.3,30.7,33.8,36.9,48.7,48.1,31.9,37.8,71.0,-7.0,2018,0.375
1242,mississippi state,SEC,111.2,96.6,0.8343,52.2,48.3,19.1,19.5,32.1,30.7,31.7,29.7,55.2,47.2,31.5,33.3,68.6,0.0,2018,0.6944444444444444
1243,south carolina,SEC,104.7,94.8,0.759,46.2,49.3,19.7,21.0,33.6,27.5,42.8,43.1,43.5,48.7,33.8,33.5,69.8,-3.1,2018,0.53125
1244,vanderbilt,SEC,114.7,105.9,0.7142,51.8,52.4,17.7,14.7,28.6,27.7,36.2,36.5,50.8,50.7,35.3,37.4,67.0,-6.0,2018,0.375
1245,alabama,SEC,107.4,95.6,0.7931,50.3,48.9,19.5,16.9,31.5,28.0,38.0,29.6,49.9,48.5,34.0,33.3,70.1,-0.2,2019,0.5294117647058824
1246,arkansas,SEC,109.3,96.7,0.8046,51.0,49.4,18.3,22.5,28.3,34.8,38.4,41.7,50.6,48.9,34.5,33.3,71.9,-2.2,2019,0.5294117647058824
1247,georgia,SEC,105.0,100.0,0.6344,50.1,48.5,22.5,15.5,32.7,31.0,41.3,29.9,51.1,47.8,32.2,33.2,70.2,-7.4,2019,0.34375
1248,missouri,SEC,107.3,95.0,0.8011,50.5,49.4,21.0,18.1,31.9,25.7,29.8,38.1,47.6,50.6,36.3,31.9,66.1,-3.0,2019,0.46875
1249,south carolina,SEC,107.8,96.3,0.7861,48.3,49.5,19.2,20.3,31.8,31.1,36.2,39.6,44.9,48.2,36.5,34.2,71.8,-2.1,2019,0.5161290322580645
1250,texas a&m,SEC,106.4,98.3,0.7129,49.3,49.3,20.0,18.5,32.7,32.5,34.2,27.0,51.0,49.1,30.8,33.1,69.0,-4.4,2019,0.4375
1251,vanderbilt,SEC,100.3,100.1,0.5062,48.6,49.5,20.5,16.4,29.0,29.3,40.6,33.3,50.0,48.0,31.1,34.9,68.9,-9.1,2019,0.28125
1252,abilene christian,Slnd,90.6,111.3,0.0854,47.3,55.3,19.8,20.8,24.1,33.9,28.3,44.7,42.0,55.2,37.8,37.0,64.0,-16.8,2015,0.25
1260,northwestern state,Slnd,109.3,115.9,0.338,52.9,54.4,15.9,19.6,29.8,38.9,35.1,36.9,51.6,51.8,36.8,40.1,73.1,-6.4,2015,0.5357142857142857
1264,abilene christian,Slnd,96.3,111.8,0.1529,50.5,54.6,19.2,19.2,24.5,27.6,40.3,46.5,48.4,54.2,36.3,36.9,68.4,-14.4,2016,0.3333333333333333
1272,northwestern state,Slnd,100.8,118.2,0.1378,50.2,55.1,19.5,18.6,27.3,38.6,35.2,36.1,49.5,54.8,34.3,37.1,74.2,-14.4,2016,0.20833333333333334
1276,abilene christian,Slnd,97.5,107.5,0.245,52.5,52.8,21.0,21.4,23.0,31.7,34.7,44.3,50.7,52.1,37.1,36.1,67.1,-12.5,2017,0.52
1283,northwestern state,Slnd,100.0,112.5,0.2056,50.1,53.9,20.8,19.2,29.6,32.4,41.0,39.4,47.9,52.5,36.3,37.8,72.3,-12.0,2017,0.52
1286,stephen f. austin,Slnd,95.4,102.9,0.2943,49.2,52.1,24.8,22.9,34.7,28.4,40.6,44.4,50.3,52.0,31.4,34.9,67.6,-9.5,2017,0.6
1288,abilene christian,Slnd,96.5,106.6,0.2423,50.4,51.4,20.3,21.6,27.3,29.7,31.5,43.2,51.9,52.3,31.8,33.2,69.8,-11.3,2018,0.5714285714285714
1296,northwestern state,Slnd,88.2,109.9,0.0743,44.3,54.1,24.7,19.1,32.4,34.5,33.2,40.1,44.9,53.1,28.3,37.2,70.5,-18.1,2018,0.16
1307,northwestern state,Slnd,89.0,109.4,0.085,44.7,51.2,22.7,19.5,28.9,34.7,33.6,36.5,46.2,48.1,28.0,37.5,69.9,-14.9,2019,0.39285714285714285
1310,stephen f. austin,Slnd,94.5,108.8,0.1655,48.4,52.6,20.5,21.5,29.1,32.9,36.2,36.1,47.6,49.9,33.3,37.4,70.0,-11.9,2019,0.5384615384615384
1318,south dakota state,Sum,106.7,100.2,0.6727,51.9,47.2,16.9,18.1,28.8,28.2,40.4,41.2,48.6,45.0,38.1,34.7,66.4,-4.7,2015,0.6666666666666666
1324,north dakota state,Sum,100.1,99.8,0.5098,49.9,47.7,16.2,16.9,25.6,26.2,33.9,31.8,49.1,47.2,34.1,32.4,65.4,-7.2,2016,0.5806451612903226
1332,north dakota state,Sum,102.7,104.5,0.4509,52.2,50.4,16.9,17.2,25.0,28.0,39.7,31.3,50.8,46.7,36.3,37.8,68.2,-6.0,2017,0.6785714285714286
1339,north dakota state,Sum,103.3,104.9,0.4541,53.7,49.6,18.4,14.4,23.0,25.2,30.4,33.5,52.5,47.8,36.8,35.3,67.6,-10.0,2018,0.5172413793103449
1348,south dakota state,Sum,111.3,104.2,0.6822,58.5,50.2,16.3,15.6,23.9,22.7,31.9,23.7,56.2,48.8,41.2,34.5,72.4,-3.4,2019,0.75
1358,southern,SWAC,90.9,102.6,0.2001,45.1,44.0,20.1,20.6,32.1,34.7,40.5,45.6,44.9,43.7,30.6,29.8,65.1,-11.7,2015,0.46875
1367,texas southern,SWAC,105.0,108.7,0.4028,51.8,49.2,19.3,15.8,35.3,28.4,41.5,24.6,52.3,48.7,33.8,33.5,68.4,-7.7,2016,0.5454545454545454
1376,southern,SWAC,96.7,114.7,0.1225,47.8,48.4,19.8,17.2,34.2,33.7,42.8,37.8,47.6,48.3,32.1,32.4,69.8,-13.5,2017,0.5
1385,southern,SWAC,93.5,109.4,0.1415,44.3,48.8,19.3,17.4,32.9,30.1,41.5,37.6,42.3,47.1,33.2,34.5,69.1,-13.3,2018,0.4838709677419355
1393,southern,SWAC,92.8,110.0,0.1242,48.9,54.9,23.2,22.2,30.2,32.9,34.6,50.5,48.8,54.8,32.6,36.7,67.5,-19.1,2019,0.22580645161290322
1394,texas southern,SWAC,102.8,109.0,0.3392,50.8,51.6,19.8,19.9,32.5,31.7,40.8,32.6,52.2,51.1,32.1,35.0,75.8,-6.6,2019,0.6666666666666666
1395,cal state bakersfield,WAC,98.3,105.4,0.3097,46.0,48.3,20.1,19.0,33.4,26.9,37.7,48.7,45.0,44.4,32.0,36.6,61.1,-14.6,2015,0.36666666666666664
1404,new mexico state,WAC,101.3,95.9,0.6525,50.2,44.8,20.2,16.2,36.0,25.1,36.9,28.4,50.7,42.3,32.5,33.5,66.4,-4.1,2016,0.65625
1409,cal state bakersfield,WAC,100.4,92.1,0.7287,48.3,43.6,20.8,22.8,32.6,30.6,38.0,47.1,46.9,41.0,34.2,31.6,68.2,-3.4,2017,0.78125
1416,cal state bakersfield,WAC,96.6,102.5,0.335,46.5,50.5,20.7,19.2,30.7,28.7,34.7,44.7,47.5,48.5,29.8,35.5,66.8,-11.4,2018,0.4444444444444444
1424,cal state bakersfield,WAC,101.4,107.2,0.3441,46.6,51.3,19.0,20.1,37.9,29.6,29.2,52.5,46.7,49.5,31.0,36.0,66.5,-8.8,2019,0.5806451612903226
1432,pacific,WCC,102.4,106.3,0.3934,46.8,51.9,19.8,16.2,34.6,31.3,39.4,43.1,44.3,50.7,34.2,36.1,61.9,-10.7,2015,0.32142857142857145
1435,saint mary's,WCC,110.0,97.7,0.7965,52.4,48.0,18.8,15.4,33.2,24.7,34.1,33.2,50.6,47.2,37.1,33.1,63.2,-0.8,2015,0.6666666666666666
1439,byu,WCC,112.0,98.1,0.8223,52.9,48.3,15.8,17.8,31.2,25.2,35.3,31.9,50.2,47.0,38.4,33.7,74.4,-1.5,2016,0.6944444444444444
1441,pacific,WCC,99.9,103.8,0.3924,49.0,50.1,19.8,16.5,28.5,29.6,38.4,49.3,49.3,47.2,32.2,36.6,67.6,-12.7,2016,0.23076923076923078
1444,saint mary's,WCC,117.6,98.6,0.883,58.4,46.2,15.4,15.5,29.8,26.7,29.0,24.1,56.4,44.8,41.0,32.7,62.5,2.0,2016,0.8235294117647058
1448,byu,WCC,108.2,99.5,0.7249,51.2,47.9,18.2,16.2,29.1,24.8,42.3,31.1,50.9,47.5,34.4,32.4,77.3,-2.4,2017,0.6470588235294118
1450,pacific,WCC,98.8,105.5,0.3214,44.6,52.5,17.0,16.5,29.3,24.1,34.6,40.9,42.9,51.8,32.5,35.7,67.7,-12.6,2017,0.34375
1456,byu,WCC,106.7,98.2,0.7226,54.1,51.3,16.8,18.5,22.5,22.8,37.6,28.4,55.3,51.9,34.7,33.6,68.7,-1.8,2018,0.6857142857142857
1458,pacific,WCC,105.2,106.1,0.4756,48.5,53.0,17.2,18.3,30.3,27.3,40.5,35.2,48.4,51.7,32.6,36.6,67.6,-10.2,2018,0.45161290322580644
1461,saint mary's,WCC,118.7,102.3,0.8468,58.7,49.2,15.4,15.1,28.9,22.8,30.4,24.8,57.1,49.5,41.0,32.3,64.6,1.3,2018,0.8333333333333334
1465,byu,WCC,110.0,102.8,0.6868,52.8,50.7,15.3,17.6,23.7,27.0,40.0,35.4,54.7,48.3,33.0,36.6,72.7,-3.1,2019,0.59375
1467,pacific,WCC,98.4,102.6,0.3831,47.7,54.2,19.6,19.2,26.8,23.1,40.5,42.2,44.9,54.1,35.6,36.2,66.5,-9.6,2019,0.4666666666666667
1473,abilene christian,Slnd,95.1,116.4,0.0889,47.2,56.4,22.3,18.0,24.9,33.8,42.3,48.3,42.3,56.8,37.3,37.1,64.9,-14.1,2014,0.09523809523809523
1475,akron,MAC,105.0,101.7,0.5896,50.3,47.9,19.8,19.5,34.8,32.4,40.4,36.1,49.3,47.1,34.6,33.5,65.7,-4.7,2014,0.6176470588235294
1476,alabama,SEC,108.3,98.0,0.7585,49.4,47.0,18.3,19.3,30.0,34.5,44.0,41.3,49.1,47.5,33.3,30.7,63.7,-6.1,2014,0.3870967741935484
1481,arkansas,SEC,110.6,96.4,0.8303,50.1,46.2,15.7,23.2,31.8,36.6,40.2,43.0,48.0,43.6,36.2,34.6,72.8,0.1,2014,0.6470588235294118
1486,auburn,SEC,110.5,103.9,0.6706,48.9,49.8,17.9,18.8,31.7,33.1,44.1,48.7,50.0,45.4,31.0,38.7,67.9,-5.4,2014,0.4666666666666667
1487,austin peay,OVC,100.6,110.4,0.2559,52.6,53.3,21.4,19.9,29.6,35.1,49.3,34.9,53.5,52.7,33.5,36.2,70.9,-13.8,2014,0.35714285714285715
1489,belmont,OVC,113.4,105.4,0.6977,57.6,52.0,18.6,20.5,28.2,33.3,41.2,42.9,56.9,52.1,39.0,34.5,69.3,-2.0,2014,0.7142857142857143
1496,bradley,MVC,100.0,103.3,0.4081,46.4,50.0,18.7,20.2,32.3,31.1,36.5,43.4,45.7,50.7,32.2,32.6,64.5,-12.6,2014,0.375
1499,bucknell,Pat,102.7,101.2,0.5434,48.9,47.9,16.8,14.4,29.0,24.4,31.7,31.8,44.6,46.5,39.0,33.9,64.7,-7.9,2014,0.5333333333333333
1500,buffalo,MAC,110.1,103.6,0.6667,50.2,47.1,18.5,19.2,35.1,31.4,41.8,36.3,50.0,47.6,33.7,30.6,68.1,-5.0,2014,0.6428571428571429
1501,butler,BE,105.9,98.3,0.7022,47.3,50.1,15.3,17.7,30.4,28.5,37.7,31.4,47.3,51.4,31.4,31.4,63.8,-5.6,2014,0.43333333333333335
1502,cal state bakersfield,WAC,100.0,105.8,0.343,49.5,49.0,21.0,19.0,34.3,31.5,38.7,52.5,45.4,50.0,38.6,31.4,65.4,-14.3,2014,0.3870967741935484
1503,cal state fullerton,BW,99.9,108.0,0.2907,48.1,50.7,17.8,17.0,29.1,29.1,38.1,45.9,47.3,50.6,33.1,34.0,67.3,-13.8,2014,0.3548387096774194
1505,california,P12,110.9,99.8,0.7717,50.7,46.9,15.1,15.0,29.5,29.8,35.6,33.7,50.2,44.3,34.5,35.3,66.4,-0.6,2014,0.6
1513,chattanooga,SC,99.9,109.8,0.2511,47.4,51.5,18.9,17.9,34.1,32.4,44.6,36.1,46.7,51.7,32.5,34.0,68.8,-9.7,2014,0.5
1515,clemson,ACC,106.7,93.9,0.8116,47.4,43.9,18.2,17.3,33.8,32.5,36.1,28.6,47.9,44.3,31.0,28.5,60.0,0.2,2014,0.6388888888888888
1517,colgate,Pat,108.6,108.4,0.5041,56.4,50.6,18.1,16.2,23.6,28.6,28.1,34.8,54.0,50.6,40.1,33.8,64.2,-12.1,2014,0.4
1518,college of charleston,CAA,98.7,99.3,0.4826,47.3,45.5,20.3,15.1,34.8,27.9,34.4,43.1,44.9,43.4,34.5,34.2,62.6,-11.6,2014,0.41935483870967744
1519,colorado state,MWC,110.0,107.5,0.5663,46.2,51.5,14.1,16.8,34.7,27.7,47.6,37.4,45.7,48.4,31.6,38.2,66.7,-7.7,2014,0.4666666666666667
1524,davidson,SC,113.1,107.2,0.6488,54.7,51.7,16.6,17.7,29.1,28.6,38.4,45.5,53.5,51.0,37.8,36.0,67.9,-5.3,2014,0.59375
1533,etsu,ASun,102.8,109.8,0.3181,49.3,50.7,16.3,19.6,27.4,32.2,42.8,42.0,46.4,51.4,36.1,33.0,70.2,-10.7,2014,0.5294117647058824
1536,eastern washington,BSky,105.9,110.4,0.3826,51.9,50.4,17.5,14.8,29.9,30.2,40.4,41.9,49.5,49.4,37.2,35.0,71.0,-10.7,2014,0.4482758620689655
1540,fairleigh dickinson,NEC,100.8,113.0,0.2119,47.7,51.2,17.6,18.4,30.3,38.1,35.7,47.8,45.0,49.0,35.0,37.0,66.6,-14.0,2014,0.3103448275862069
1544,florida gulf coast,ASun,99.2,100.8,0.4533,51.1,47.7,19.2,18.6,30.0,28.6,36.0,35.4,52.5,45.8,31.9,34.2,67.8,-7.4,2014,0.6060606060606061
1545,florida state,ACC,112.0,97.6,0.8301,51.7,45.4,21.3,18.9,34.5,35.7,45.6,36.2,49.7,43.5,38.0,32.9,67.2,1.4,2014,0.6111111111111112
1547,fresno state,MWC,110.7,103.9,0.6738,49.9,48.8,14.7,16.6,24.0,31.6,40.6,42.0,47.1,49.5,36.3,31.5,67.1,-5.8,2014,0.5135135135135135
1549,gardner-webb,BSth,99.7,104.6,0.3651,47.6,50.8,17.9,20.0,33.2,31.5,41.2,38.7,47.2,51.2,32.5,33.2,66.8,-9.9,2014,0.5
1551,georgetown,BE,114.3,100.0,0.8228,51.1,47.9,17.9,18.2,31.9,32.1,44.8,52.4,51.8,46.8,33.1,33.3,65.1,-1.6,2014,0.5454545454545454
1552,georgia,SEC,107.9,99.0,0.7275,48.9,45.9,20.0,16.0,35.3,29.8,54.1,43.4,47.5,44.8,34.9,31.9,64.5,-1.8,2014,0.5882352941176471
1554,georgia state,SB,114.0,104.3,0.736,53.1,49.6,11.9,20.1,24.9,34.1,38.8,36.0,51.1,48.3,38.0,34.3,66.0,-2.2,2014,0.71875
1558,green bay,Horz,106.5,98.3,0.7165,50.9,46.0,18.7,19.9,34.0,32.5,43.0,34.1,50.9,44.7,34.0,32.4,67.2,0.4,2014,0.75
1559,hampton,MEAC,95.5,101.0,0.3454,46.4,45.1,20.2,22.1,32.9,35.1,50.9,53.6,46.0,41.6,31.6,35.4,71.4,-8.4,2014,0.5666666666666667
1561,hawaii,BW,109.9,107.5,0.5635,51.3,51.0,16.8,19.2,37.3,31.6,42.4,40.4,51.9,50.8,33.2,34.2,69.0,-6.3,2014,0.6206896551724138
1564,holy cross,Pat,104.2,102.3,0.552,49.0,49.9,18.2,18.8,29.8,27.5,39.4,30.2,46.9,47.0,35.3,37.4,64.7,-6.4,2014,0.5882352941176471
1565,houston,Amer,110.7,107.9,0.5731,51.2,50.1,18.9,16.4,31.6,34.0,38.2,34.6,49.5,49.0,36.7,34.9,67.3,-4.5,2014,0.5151515151515151
1570,illinois,B10,105.4,93.1,0.8065,46.5,48.1,16.5,18.7,31.2,29.3,31.2,32.2,45.9,46.3,31.7,34.3,63.1,0.3,2014,0.5714285714285714
1574,indiana,B10,108.4,94.7,0.8246,49.9,46.2,21.8,17.8,37.2,28.0,45.3,35.5,49.1,46.8,34.4,29.9,69.5,-2.1,2014,0.53125
1576,iona,MAAC,118.0,107.8,0.7391,57.4,50.6,14.8,16.7,26.1,35.6,38.0,29.4,55.8,50.4,39.6,34.1,70.3,-2.5,2014,0.6666666666666666
1581,jacksonville state,OVC,96.9,111.5,0.1675,46.4,53.7,17.5,19.3,31.1,34.7,41.4,47.6,45.9,52.0,31.6,38.7,62.8,-15.8,2014,0.27586206896551724
1582,james madison,CAA,98.1,106.5,0.2814,45.7,49.1,18.8,18.4,29.7,31.8,47.4,44.4,48.2,46.8,27.3,35.1,65.5,-13.5,2014,0.3548387096774194
1584,kent state,MAC,103.1,106.1,0.4193,49.4,48.9,18.3,19.6,30.4,31.5,37.0,47.6,47.3,47.6,35.1,34.5,66.6,-10.1,2014,0.4838709677419355
1585,la salle,A10,105.9,99.4,0.6741,46.4,48.1,17.5,17.6,33.1,32.5,39.1,32.1,45.3,47.5,32.5,33.1,64.7,-5.2,2014,0.4838709677419355
1586,lafayette,Pat,108.7,115.2,0.3382,53.7,54.3,18.9,17.7,27.4,33.7,33.3,35.8,50.6,53.4,39.7,37.2,66.3,-13.7,2014,0.3333333333333333
1589,liberty,BSth,101.5,111.9,0.2455,49.9,51.0,20.5,15.1,38.0,29.9,34.5,38.1,48.4,50.0,35.7,35.0,64.6,-16.7,2014,0.27586206896551724
1590,lipscomb,ASun,102.5,111.3,0.2803,51.3,54.2,17.5,20.1,25.8,31.5,47.9,48.7,49.7,55.2,35.5,35.1,70.4,-9.8,2014,0.4827586206896552
1596,loyola (il),MVC,102.3,107.5,0.3614,51.9,51.2,20.7,18.1,26.8,31.5,38.0,42.1,51.6,51.0,35.0,34.5,63.7,-15.4,2014,0.2903225806451613
1599,lsu,SEC,111.3,98.4,0.8043,50.0,46.7,19.2,18.0,35.0,31.6,34.2,38.7,49.4,43.8,34.2,35.8,70.1,-1.1,2014,0.5882352941176471
1602,marquette,BE,109.8,98.0,0.7885,48.7,49.1,17.5,19.3,34.1,29.6,44.8,38.7,48.9,45.7,32.1,36.5,66.7,-2.1,2014,0.53125
1603,marshall,CUSA,99.8,104.7,0.3679,46.6,50.3,18.9,19.5,32.8,34.5,42.4,43.5,48.0,51.1,29.1,32.4,68.9,-15.1,2014,0.2903225806451613
1604,maryland,ACC,108.1,94.5,0.8237,49.1,47.2,18.6,18.7,33.5,28.9,36.7,42.1,47.8,45.4,34.2,34.1,69.1,-1.5,2014,0.53125
1607,miami (fl),ACC,109.8,98.5,0.7771,47.6,47.0,17.2,16.4,33.5,30.4,36.1,31.2,47.2,43.4,32.3,35.5,58.7,-3.8,2014,0.5151515151515151
1609,middle tennessee,CUSA,104.7,95.6,0.7401,49.5,46.8,19.2,21.7,34.9,29.4,44.1,43.9,48.8,45.6,34.2,33.0,64.5,-1.8,2014,0.7096774193548387
1610,minnesota,B10,114.4,98.4,0.8499,51.6,48.7,18.1,18.7,31.4,31.2,39.7,40.2,50.6,47.1,35.5,34.4,65.0,0.5,2014,0.6486486486486487
1611,ole miss,SEC,111.1,102.0,0.7277,48.2,48.4,15.9,19.9,33.1,35.5,39.6,43.3,46.5,46.2,33.9,34.7,69.8,-2.7,2014,0.5757575757575758
1612,mississippi state,SEC,100.7,102.5,0.4468,48.5,51.1,20.2,20.3,28.6,31.5,43.3,33.0,49.5,52.3,30.7,32.6,68.4,-9.0,2014,0.42424242424242425
1614,missouri,SEC,114.2,102.9,0.7682,51.2,47.8,19.0,15.9,34.7,30.7,52.5,37.7,51.0,46.6,34.4,33.2,66.4,1.3,2014,0.6571428571428571
1617,montana,BSky,106.8,111.5,0.3799,54.7,52.8,15.9,18.4,24.7,34.5,42.3,45.6,54.1,52.4,37.0,35.7,61.6,-8.8,2014,0.5357142857142857
1621,murray state,OVC,109.1,105.3,0.6017,53.7,49.4,18.0,17.0,31.7,31.3,45.9,35.0,52.2,49.8,37.6,32.2,67.5,-5.9,2014,0.65625
1624,nevada,MWC,109.1,107.0,0.5561,49.2,50.0,15.5,15.9,31.1,31.7,38.1,40.5,48.5,49.9,33.8,33.5,65.5,-7.5,2014,0.46875
1631,north carolina a&t,MEAC,93.1,113.0,0.0975,42.7,50.1,22.1,17.9,33.4,32.1,58.6,54.4,41.9,47.8,29.5,35.9,67.2,-17.9,2014,0.25806451612903225
1632,north dakota,BSky,103.7,112.5,0.2819,49.9,55.4,16.4,20.9,30.7,31.7,41.6,48.4,50.8,55.2,32.0,37.3,69.7,-10.7,2014,0.46875
1635,northeastern,CAA,100.6,104.5,0.3922,48.0,50.8,20.0,17.1,32.7,29.7,44.4,33.4,47.7,48.7,32.4,37.1,65.1,-13.6,2014,0.34375
1639,northern iowa,MVC,113.1,103.8,0.7298,52.7,51.1,16.1,17.1,25.9,27.9,38.5,37.3,51.7,49.1,35.9,36.4,65.8,-6.1,2014,0.5
1640,northern kentucky,ASun,102.5,117.0,0.1797,50.6,53.3,17.8,16.8,28.4,32.2,35.7,48.8,49.4,51.7,34.9,37.7,63.4,-16.1,2014,0.3
1641,northwestern,B10,98.8,94.7,0.6206,46.1,45.9,17.3,16.4,22.5,30.6,35.5,38.0,46.1,45.3,30.6,31.5,62.0,-4.2,2014,0.42424242424242425
1642,northwestern state,Slnd,107.1,109.8,0.4294,51.3,52.1,17.0,20.0,32.6,36.1,39.8,42.9,51.4,51.0,34.0,36.2,75.8,-7.4,2014,0.5172413793103449
1643,notre dame,ACC,113.5,104.9,0.7118,51.7,51.4,15.9,16.8,32.1,30.1,30.0,32.1,50.7,48.2,35.8,38.5,64.7,-4.6,2014,0.46875
1646,old dominion,CUSA,100.2,100.4,0.4938,47.7,47.8,20.4,19.7,33.2,29.5,39.3,44.6,47.2,45.0,32.6,35.8,64.2,-9.1,2014,0.5
1648,oregon state,P12,113.2,105.2,0.6989,54.1,50.6,19.5,15.2,30.7,32.0,50.9,36.8,52.3,48.5,39.2,36.8,67.3,-3.7,2014,0.5
1649,pacific,WCC,108.4,106.9,0.5415,50.3,52.9,18.0,17.3,31.2,26.8,40.6,52.7,48.4,49.7,36.2,38.7,67.7,-6.1,2014,0.5151515151515151
1650,penn,Ivy,98.6,105.7,0.3087,49.7,48.9,22.9,18.2,28.6,34.5,39.1,49.5,50.3,44.4,32.1,38.3,70.1,-12.9,2014,0.2857142857142857
1657,princeton,Ivy,105.1,98.1,0.6901,52.8,48.0,17.1,18.8,25.0,25.1,38.0,37.4,52.1,47.5,35.7,32.8,64.8,-2.5,2014,0.6896551724137931
1658,purdue,B10,108.6,100.2,0.7172,47.2,47.8,17.8,16.4,36.3,30.6,37.5,41.9,46.2,46.9,33.2,33.0,69.0,-3.8,2014,0.45161290322580644
1660,radford,BSth,107.1,113.7,0.3359,51.9,52.4,15.8,17.5,31.5,31.5,40.4,39.0,51.3,50.4,35.7,38.3,67.8,-8.1,2014,0.59375
1661,rhode island,A10,103.6,98.6,0.6382,48.6,46.9,20.8,17.4,32.9,31.3,46.2,43.0,49.2,48.5,31.5,28.6,66.4,-6.2,2014,0.45161290322580644
1665,robert morris,NEC,104.6,105.9,0.4652,50.4,51.8,17.0,19.1,30.9,31.6,36.6,38.4,46.5,52.7,38.5,33.5,66.2,-6.2,2014,0.6111111111111112
1669,saint mary's,WCC,111.9,99.8,0.788,51.4,49.7,18.2,18.1,35.8,29.7,48.0,40.9,48.3,49.1,38.1,34.2,63.3,-1.8,2014,0.6470588235294118
1679,seton hall,BE,108.8,99.8,0.7281,52.4,50.2,18.1,18.2,26.4,28.3,43.1,41.6,51.6,49.1,35.8,34.9,66.0,-5.0,2014,0.5
1682,smu,Amer,110.4,93.7,0.8679,52.8,44.8,20.2,21.2,35.0,30.5,43.8,38.7,51.6,42.7,37.9,32.1,66.2,1.4,2014,0.7297297297297297
1684,south carolina,SEC,106.6,101.2,0.6469,46.5,49.2,21.3,20.0,39.4,33.9,45.7,56.9,42.6,49.4,37.8,32.6,67.2,-6.6,2014,0.4117647058823529
1687,south dakota state,Sum,105.2,103.4,0.5497,49.6,51.3,17.9,16.3,30.4,22.1,43.7,38.4,48.9,50.3,33.9,35.5,67.5,-5.8,2014,0.5517241379310345
