YEAR,SEED,TEAM,ROUND,KENPOM ADJUSTED EFFICIENCY,KENPOM ADJUSTED OFFENSE,KENPOM ADJUSTED DEFENSE,KENPOM ADJUSTED TEMPO,BARTTORVIK ADJUSTED EFFICIENCY,BARTTORVIK ADJUSTED OFFENSE,BARTTORVIK ADJUSTED DEFENSE,BARTHAG,ELITE SOS,BARTTORVIK ADJUSTED TEMPO,2PT %,3PT %,FREE THROW %,EFG %,FREE THROW RATE,3PT RATE,ASSIST %,OFFENSIVE REBOUND %,DEFENSIVE REBOUND %,BLOCK %,TURNOVER %,2PT % DEFENSE,3PT % DEFENSE,FREE THROW % DEFENSE,EFG % DEFENSE,FREE THROW RATE DEFENSE,3PT RATE DEFENSE,OP ASSIST %,OP O REB %,OP D REB %,BLOCKED %,TURNOVER % DEFENSE,WINS ABOVE BUBBLE,WIN %,POINTS PER POSSESSION OFFENSE,POINTS PER POSSESSION DEFENSE,TEAM.1
2019,5,auburn,4,23.3,119.6,96.2,67.5,23.5,119.4,95.9,0.926,32.32,69.3,51.3,38.1,71.6,54.2,31.0,49.6,53.0,32.7,67.1,16.0,17.5,50.4,35.6,71.6,51.8,36.6,44.1,51.8,32.9,67.3,12.1,25.3,6.1,73.53,1.138,0.989,Auburn
2019,5,marquette,64,18.4,114.2,95.7,68.6,16.5,112.2,95.7,0.862,24.34,70.4,50.5,39.3,75.9,54.1,35.9,41.7,51.8,29.1,73.8,11.1,19.5,44.8,31.9,75.9,45.9,35.7,35.7,50.1,26.2,70.9,8.8,16.6,2.8,72.73,1.088,0.967,Marquette
2019,5,mississippi state,64,20.7,117.4,96.7,67.4,19.8,116.4,96.6,0.895,32.17,68.8,53.3,37.8,74.0,54.6,32.3,39.0,51.4,34.9,70.2,13.6,19.3,48.5,35.3,74.0,50.1,31.7,36.2,50.1,29.8,65.1,10.3,19.7,4.6,69.7,1.106,1.04,Mississippi St.
2019,5,wisconsin,64,23.7,110.8,87.1,63.6,20.1,108.9,88.8,0.913,36.87,64.8,49.8,36.6,69.1,51.5,27.5,34.1,49.3,24.0,73.5,11.3,14.4,43.7,31.2,69.1,44.8,25.9,35.1,45.6,26.5,76.0,10.7,17.2,6.2,69.7,1.016,0.974,Wisconsin
2019,6,buffalo,32,20.3,114.9,94.6,73.8,18.0,113.2,95.2,0.88,17.0,75.2,55.8,33.6,68.8,53.4,32.2,43.9,55.0,31.6,73.3,10.5,15.6,48.8,29.7,68.8,47.2,31.5,36.1,40.1,26.7,68.4,8.5,20.4,5.7,90.91,1.13,0.946,Buffalo
2019,6,maryland,32,20.0,113.8,93.8,65.6,18.7,112.5,93.8,0.89,33.4,67.6,51.3,35.3,69.7,51.9,32.9,37.0,52.4,33.9,75.3,13.4,19.8,44.7,32.0,69.7,46.0,26.6,39.4,52.2,24.7,66.1,9.8,14.3,4.2,68.75,1.055,0.981,Maryland
2019,6,villanova,32,18.8,117.0,98.2,63.6,16.4,115.1,98.7,0.854,25.55,65.1,53.9,35.3,72.7,53.4,35.3,53.5,57.7,30.8,72.7,8.9,17.0,49.7,33.5,72.7,49.9,28.6,39.3,56.2,27.3,69.2,8.8,18.1,3.7,73.53,1.123,1.011,Villanova
2019,6,iowa state,64,21.8,119.0,97.1,67.6,22.1,118.2,96.1,0.915,33.26,69.1,55.0,36.5,73.2,54.9,30.3,39.6,54.5,28.5,70.0,12.8,16.2,47.1,33.8,73.2,48.5,23.6,39.3,49.9,30.0,71.5,7.5,18.8,4.3,67.65,1.127,0.994,Iowa St.
2019,7,wofford,32,20.7,118.4,97.6,65.6,17.9,115.8,97.9,0.873,18.86,67.2,54.3,41.6,70.5,57.8,27.7,43.5,50.2,32.3,75.4,8.9,16.2,50.9,32.7,70.5,50.2,31.8,40.2,48.5,24.6,67.7,7.6,19.3,4.2,86.67,1.182,0.983,Wofford
2019,7,cincinnati,64,17.1,111.6,94.5,63.2,18.2,112.1,93.9,0.885,24.66,64.9,47.3,35.0,72.8,49.0,38.1,33.1,54.1,37.6,70.6,14.7,16.1,44.7,35.1,72.8,48.1,30.5,42.8,50.6,29.4,62.4,9.6,20.9,5.9,82.35,1.075,0.872,Cincinnati
