YEAR,SEED,TEAM,ROUND,KENPOM ADJUSTED EFFICIENCY,KENPOM ADJUSTED OFFENSE,KENPOM ADJUSTED DEFENSE,KENPOM ADJUSTED TEMPO,BARTTORVIK ADJUSTED EFFICIENCY,BARTTORVIK ADJUSTED OFFENSE,BARTTORVIK ADJUSTED DEFENSE,BARTHAG,ELITE SOS,BARTTORVIK ADJUSTED TEMPO,2PT %,3PT %,FREE THROW %,EFG %,FREE THROW RATE,3PT RATE,ASSIST %,OFFENSIVE REBOUND %,DEFENSIVE REBOUND %,BLOCK %,TURNOVER %,2PT % DEFENSE,3PT % DEFENSE,FREE THROW % DEFENSE,EFG % DEFENSE,FREE THROW RATE DEFENSE,3PT RATE DEFENSE,OP ASSIST %,OP O REB %,OP D REB %,BLOCKED %,TURNOVER % DEFENSE,WINS ABOVE BUBBLE,WIN %,POINTS PER POSSESSION OFFENSE,POINTS PER POSSESSION DEFENSE
2013,9.0,oregon,64.0,16.7,119.3,102.6,64.9,16.6,117.8,101.2,0.852,35.62,67.9,53.9,40.1,68.9,56.3,36.9,39.0,55.3,32.3,68.8,6.7,18.6,50.1,33.6,69.3,50.2,33.3,35.3,52.9,31.2,67.7,9.7,16.4,0.8,58.06,1.13,1.065
2013,13.5,montana,64.0,8.2,105.1,96.95,62.650000000000006,5.0,102.1,97.1,0.641,10.195,64.45,51.4,39.05,72.1,53.7,38.55,31.85,52.099999999999994,28.9,69.44999999999999,9.5,18.85,43.95,34.45,67.69999999999999,46.3,38.8,29.6,44.7,30.549999999999997,71.1,8.75,21.0,-3.15,74.14,1.0795,0.9550000000000001
2013,10.0,virginia,64.0,17.4,106.2,88.8,58.4,17.0,104.3,87.3,0.886,25.38,60.4,51.1,33.7,72.4,50.9,35.8,29.5,54.3,27.9,74.6,8.3,18.6,44.3,29.5,63.4,44.3,31.1,32.0,42.6,25.4,72.1,7.0,21.1,2.0,70.97,1.029,0.876
2013,9.5,murray state,32.0,14.85,109.6,94.75,64.94999999999999,12.2,106.85,94.65,0.8005,10.215,66.75,53.349999999999994,38.95,71.55,55.1,44.65,33.25,53.8,36.900000000000006,65.95,12.45,21.15,43.8,31.75,68.2,45.0,34.55,28.25,48.650000000000006,34.05,63.099999999999994,7.9,24.2,1.9,91.965,1.118,0.9175
2013,16.0,hampton,64.0,-3.8,93.9,97.7,66.6,-4.6,92.7,97.3,0.364,5.09,67.2,45.1,32.1,64.7,46.2,42.2,35.7,52.2,29.5,64.0,14.6,17.8,40.5,31.2,66.7,42.5,36.7,30.9,46.1,36.0,70.5,9.0,23.1,-5.6,74.19,0.98,0.907
2013,7.0,maryland,32.0,18.0,113.15,95.15,66.85,17.7,111.6,93.9,0.8714999999999999,32.06,69.19999999999999,47.8,35.95,74.55,49.349999999999994,30.799999999999997,26.2,56.0,35.15,63.0,10.9,17.299999999999997,43.6,33.8,69.2,45.9,29.4,32.85,49.85,37.0,64.85,8.7,22.0,1.7,66.97,1.0705,0.97
2013,8.252212389380531,northeastern,40.067477876106196,16.00287442477876,112.19495265486727,96.18942323008851,66.11796969026548,15.784120575221237,111.20093584070797,95.41681526548673,0.8168384955752213,24.66541482300885,67.54678650442477,51.212610619469025,35.87024336283186,71.26891592920354,52.110730088495565,36.6304203539823,34.87057522123894,54.728097345132745,32.52776548672566,70.73838495575221,10.695353982300883,17.893694690265487,46.212942477876105,32.890707964601766,69.84977876106196,47.2771017699115,32.778318584070796,34.67035398230089,50.76117256637169,29.261615044247787,67.47223451327434,8.619026548672567,19.613827433628316,1.913495575221239,72.88915863067477,1.0908982300884955,0.971950221238938
2013,8.252212389380531,lafayette,40.067477876106196,16.00287442477876,112.19495265486727,96.18942323008851,66.11796969026548,15.784120575221237,111.20093584070797,95.41681526548673,0.8168384955752213,24.66541482300885,67.54678650442477,51.212610619469025,35.87024336283186,71.26891592920354,52.110730088495565,36.6304203539823,34.87057522123894,54.728097345132745,32.52776548672566,70.73838495575221,10.695353982300883,17.893694690265487,46.212942477876105,32.890707964601766,69.84977876106196,47.2771017699115,32.778318584070796,34.67035398230089,50.76117256637169,29.261615044247787,67.47223451327434,8.619026548672567,19.613827433628316,1.913495575221239,72.88915863067477,1.0908982300884955,0.971950221238938
2013,8.252212389380531,pacific,40.067477876106196,16.00287442477876,112.19495265486727,96.18942323008851,66.11796969026548,15.784120575221237,111.20093584070797,95.41681526548673,0.8168384955752213,24.66541482300885,67.54678650442477,51.212610619469025,35.87024336283186,71.26891592920354,52.110730088495565,36.6304203539823,34.87057522123894,54.728097345132745,32.52776548672566,70.73838495575221,10.695353982300883,17.893694690265487,46.212942477876105,32.890707964601766,69.84977876106196,47.2771017699115,32.778318584070796,34.67035398230089,50.76117256637169,29.261615044247787,67.47223451327434,8.619026548672567,19.613827433628316,1.913495575221239,72.88915863067477,1.0908982300884955,0.971950221238938
2013,3.0,stanford,16.0,23.9,113.3,89.4,62.8,22.9,111.5,88.6,0.934,33.06,65.2,48.2,36.0,69.6,49.8,40.4,27.1,57.2,39.2,71.2,13.0,18.9,41.6,33.5,66.3,44.0,34.0,27.0,45.5,28.8,60.8,5.9,18.1,6.7,78.79,1.086,0.931
